c graph in DIMACS format 
p edge 256 32640
e 2 61 21616539
e 2 62 24924170
e 2 63 26399534
e 2 64 22131529
e 2 65 12274974
e 2 66 9607438
e 2 67 11881132
e 2 68 10216818
e 2 69 21028631
e 2 70 22161156
e 2 71 10833309
e 2 72 20908710
e 2 73 7256428
e 2 74 21045817
e 2 75 21046473
e 2 76 19907618
e 2 77 22128769
e 2 78 8773568
e 2 79 20816738
e 2 80 24052591
e 2 81 21020405
e 2 82 21620559
e 2 83 6609812
e 2 84 19682469
e 2 85 21041413
e 2 86 30700704
e 2 87 21602043
e 2 88 59448356
e 2 89 22908147
e 2 90 22995052
e 2 91 16761895
e 2 92 15953771
e 2 93 21034758
e 2 94 36441551
e 2 95 21592148
e 2 96 20972516
e 2 97 19082037
e 2 98 21582135
e 2 99 9416178
e 2 100 21011836
e 2 101 18206414
e 2 102 20865066
e 2 103 20759782
e 2 104 34897050
e 2 105 16313788
e 2 106 22128799
e 2 107 21005205
e 2 108 19978795
e 2 109 21021323
e 2 110 13093645
e 2 111 5772477
e 2 112 14090688
e 2 113 21020850
e 2 114 9564686
e 2 115 24913424
e 2 116 24894158
e 2 117 21034915
e 2 118 17270118
e 2 119 20816455
e 2 120 21482091
e 2 121 22011721
e 2 122 21542415
e 2 123 15949009
e 2 124 23924746
e 2 125 13419958
e 2 126 21617422
e 2 127 18832264
e 2 128 7309877
e 2 129 17472192
e 2 130 22102913
e 2 131 13016956
e 2 132 37250368
e 2 133 21033721
e 2 134 16361777
e 2 135 21573960
e 2 136 20990270
e 2 137 23240980
e 2 138 13398425
e 2 139 20907573
e 2 140 19509555
e 2 141 9256277
e 2 142 20797457
e 2 143 18852387
e 2 144 22117523
e 2 145 20380639
e 2 146 28002247
e 2 147 21041277
e 2 148 8283843
e 2 149 19080329
e 2 150 21024168
e 2 151 22137748
e 2 152 20708089
e 2 153 9090719
e 2 154 37029658
e 2 155 11164583
e 2 156 11963544
e 2 157 22904823
e 2 158 26041251
e 2 159 20895759
e 2 160 21034814
e 2 161 22905386
e 2 162 28533737
e 2 163 21583230
e 2 164 10375148
e 2 165 21616547
e 2 166 11844349
e 2 167 33040916
e 2 168 35834203
e 2 169 11501588
e 2 170 21033731
e 2 171 21044164
e 2 172 29419537
e 2 173 22905540
e 2 174 21023461
e 2 175 13177554
e 2 176 22958251
e 2 177 24718635
e 2 178 27886471
e 2 179 13451869
e 2 180 20906992
e 2 181 21590919
e 2 182 5474124
e 2 183 21277753
e 2 184 21034841
e 2 185 17193327
e 2 186 17416294
e 2 187 21545521
e 2 188 22905203
e 2 189 14478965
e 2 190 33102106
e 2 191 21594418
e 2 192 22754129
e 2 193 17809645
e 2 194 21608149
e 2 195 21044164
e 2 196 22126474
e 2 197 21464875
e 2 198 18583387
e 2 199 30743310
e 2 200 22129107
e 2 201 22904823
e 2 202 20922881
e 2 203 15623343
e 2 204 15034034
e 2 205 33671360
e 2 206 37997134
e 2 207 22118400
e 2 208 10311806
e 2 209 21044164
e 2 210 10938656
e 2 211 22034099
e 2 212 13939613
e 2 213 23181100
e 2 214 22134000
e 2 215 22207525
e 2 216 21026132
e 2 217 8073421
e 2 218 31799931
e 2 219 22936028
e 2 220 22126897
e 2 221 14416510
e 2 222 22859239
e 2 223 7980326
e 2 224 20955306
e 2 225 20934234
e 2 226 9433314
e 2 227 21034384
e 2 228 16783956
e 2 229 21034814
e 2 230 21031685
e 2 231 15583983
e 2 232 12049883
e 2 233 20992349
e 2 234 11843412
e 2 235 16481400
e 2 236 15555443
e 2 237 16639738
e 2 238 16694746
e 2 239 22128769
e 2 240 22904823
e 2 241 30398149
e 2 242 20944805
e 2 243 9852153
e 2 244 21034814
e 2 245 22128769
e 2 246 29744082
e 2 247 21034814
e 2 248 21044164
e 2 249 22904823
e 2 250 13206594
e 2 251 10906938
e 2 252 22123954
e 2 253 21031764
e 2 254 21034814
e 2 255 5527131
e 2 256 21619192
e 3 4 10834527
e 3 5 50015837
e 3 6 20668838
e 3 7 22371750
e 3 8 35264381
e 3 9 14130974
e 3 10 9115416
e 3 11 21509523
e 3 12 34061725
e 3 13 28720698
e 3 14 43813088
e 3 15 43642001
e 3 16 51684793
e 3 17 21534091
e 3 18 10654867
e 3 19 22114992
e 3 20 25068971
e 3 21 25072662
e 3 22 21561131
e 3 23 25090747
e 3 24 24340069
e 3 25 31072685
e 3 26 32700953
e 3 27 20848754
e 3 28 45872788
e 3 29 21548189
e 3 30 21566722
e 3 31 9547548
e 3 32 43662277
e 3 33 31915867
e 3 34 21890273
e 3 35 43642099
e 3 36 21375484
e 3 37 25047223
e 3 38 45193817
e 3 39 21540422
e 3 40 5755672
e 3 41 18546413
e 3 42 21564825
e 3 43 19697670
e 3 44 43643007
e 3 45 9012515
e 3 46 43642867
e 3 47 21261441
e 3 48 43644467
e 3 49 60102980
e 3 50 25069218
e 3 51 7448604
e 3 52 21556695
e 3 53 25071783
e 3 54 18656441
e 3 55 34024188
e 3 56 25023671
e 3 57 21496400
e 3 58 21564230
e 3 59 22185616
e 3 60 25072948
e 3 61 43638551
e 3 62 17816795
e 3 63 46384000
e 3 64 43643963
e 3 65 12795207
e 3 66 54133754
e 3 67 14037219
e 3 68 10750591
e 3 69 43648677
e 3 70 43686884
e 3 71 11353542
e 3 72 24363516
e 3 73 6692057
e 3 74 25075651
e 3 75 21561790
e 3 76 19342351
e 3 77 43663360
e 3 78 11718797
e 3 79 43730025
e 3 80 20950893
e 3 81 25059589
e 3 82 21563195
e 3 83 10639646
e 3 84 23835138
e 3 85 21561646
e 3 86 51516120
e 3 87 43652809
e 3 88 9669257
e 3 89 43644528
e 3 90 25097087
e 3 91 18905181
e 3 92 16483354
e 3 93 43641237
e 3 94 57145723
e 3 95 43650370
e 3 96 43700378
e 3 97 19602271
e 3 98 25036941
e 3 99 9947982
e 3 100 43672923
e 3 101 18735997
e 3 102 43738394
e 3 103 21840215
e 3 104 55633431
e 3 105 37830661
e 3 106 43641233
e 3 107 43639710
e 3 108 42000806
e 3 109 25059411
e 3 110 12448199
e 3 111 6286643
e 3 112 38256294
e 3 113 43627240
e 3 114 35199749
e 3 115 22806851
e 3 116 45630539
e 3 117 21564499
e 3 118 21318114
e 3 119 19335392
e 3 120 21427297
e 3 121 21447349
e 3 122 25036643
e 3 123 16469243
e 3 124 44661126
e 3 125 13940191
e 3 126 25075659
e 3 127 41086932
e 3 128 29906916
e 3 129 20926998
e 3 130 21538541
e 3 131 12962162
e 3 132 21236790
e 3 133 21563305
e 3 134 41305978
e 3 135 21519166
e 3 136 25020104
e 3 137 24486234
e 3 138 6731800
e 3 139 21437157
e 3 140 22454784
e 3 141 31862667
e 3 142 21327040
e 3 143 8029595
e 3 144 25062752
e 3 145 43766900
e 3 146 27521692
e 3 147 43638317
e 3 148 12777293
e 3 149 45705384
e 3 150 21553751
e 3 151 21554579
e 3 152 24747274
e 3 153 12035948
e 3 154 29799956
e 3 155 15569886
e 3 156 16002729
e 3 157 21564398
e 3 158 47790266
e 3 159 21425342
e 3 160 21564398
e 3 161 43655060
e 3 162 31167452
e 3 163 21479274
e 3 164 31111528
e 3 165 43642691
e 3 166 33446069
e 3 167 11882702
e 3 168 7683333
e 3 169 12021822
e 3 170 43655766
e 3 171 21564398
e 3 172 9325189
e 3 173 25074715
e 3 174 21553045
e 3 175 13707138
e 3 176 21509161
e 3 177 45358796
e 3 178 12455289
e 3 179 52430151
e 3 180 43738365
e 3 181 25045726
e 3 182 5419329
e 3 183 6162542
e 3 184 43631881
e 3 185 17722910
e 3 186 49551544
e 3 187 21490727
e 3 188 25074379
e 3 189 18518149
e 3 190 35774902
e 3 191 21480585
e 3 192 21413704
e 3 193 47877249
e 3 194 25078553
e 3 195 43641204
e 3 196 43671355
e 3 197 21410081
e 3 198 21528616
e 3 199 31866073
e 3 200 25073722
e 3 201 43663360
e 3 202 43529271
e 3 203 50548268
e 3 204 19535127
e 3 205 54387933
e 3 206 7727589
e 3 207 21554028
e 3 208 34335138
e 3 209 21564398
e 3 210 11468240
e 3 211 44038437
e 3 212 21399485
e 3 213 21431048
e 3 214 25068748
e 3 215 26249466
e 3 216 21555716
e 3 217 55697438
e 3 218 13634405
e 3 219 43672408
e 3 220 21551482
e 3 221 14946094
e 3 222 21465914
e 3 223 58105279
e 3 224 24994490
e 3 225 24973418
e 3 226 11499460
e 3 227 43641820
e 3 228 38296390
e 3 229 21564398
e 3 230 25061519
e 3 231 16104216
e 3 232 11485511
e 3 233 21512583
e 3 234 25195606
e 3 235 17001634
e 3 236 16085026
e 3 237 17169322
e 3 238 17224329
e 3 239 43641204
e 3 240 43641204
e 3 241 51977995
e 3 242 21465038
e 3 243 10381736
e 3 244 21564398
e 3 245 25073999
e 3 246 16385444
e 3 247 43641204
e 3 248 25073999
e 3 249 43654498
e 3 250 47177665
e 3 251 14361744
e 3 252 25069183
e 3 253 21561347
e 3 254 25073999
e 3 255 6047365
e 3 256 43942533
e 4 5 11105335
e 4 6 33760157
e 4 7 21268789
e 4 8 22440311
e 4 9 14896489
e 4 10 58219753
e 4 11 23399244
e 4 12 28758351
e 4 13 14872656
e 4 14 23455828
e 4 15 22329426
e 4 16 16231859
e 4 17 22304349
e 4 18 9034987
e 4 19 19370906
e 4 20 23449091
e 4 21 23452782
e 4 22 23450852
e 4 23 46300260
e 4 24 22720190
e 4 25 10885600
e 4 26 11389844
e 4 27 22738475
e 4 28 19136331
e 4 29 46258818
e 4 30 23456443
e 4 31 10313063
e 4 32 22325833
e 4 33 53144679
e 4 34 20270393
e 4 35 22333589
e 4 36 22140999
e 4 37 23424303
e 4 38 19997591
e 4 39 23468310
e 4 40 7651622
e 4 41 19311928
e 4 42 22330340
e 4 43 21587391
e 4 44 23442529
e 4 45 10902236
e 4 46 46281085
e 4 47 19641561
e 4 48 22326731
e 4 49 6865592
e 4 50 23449338
e 4 51 8214119
e 4 52 23446416
e 4 53 22330115
e 4 54 17036561
e 4 55 34789703
e 4 56 23403791
e 4 57 22261915
e 4 58 22329745
e 4 59 20565737
e 4 60 46276094
e 4 61 23451466
e 4 62 11604298
e 4 63 19982469
e 4 64 46277786
e 4 65 14684928
e 4 66 10893187
e 4 67 11293133
e 4 68 11520849
e 4 69 22323729
e 4 70 22310035
e 4 71 12119057
e 4 72 45667217
e 4 73 8581778
e 4 74 23455772
e 4 75 46277335
e 4 76 20107866
e 4 77 23454119
e 4 78 8974711
e 4 79 23542940
e 4 80 48198848
e 4 81 46297929
e 4 82 22333454
e 4 83 9013809
e 4 84 22215259
e 4 85 46287312
e 4 86 54115886
e 4 87 22309292
e 4 88 7971227
e 4 89 22331452
e 4 90 23509010
e 4 91 17287655
e 4 92 17248869
e 4 93 23454062
e 4 94 8779140
e 4 95 23440654
e 4 96 23391821
e 4 97 21491992
e 4 98 23417062
e 4 99 35080823
e 4 100 22326465
e 4 101 20625718
e 4 102 23275020
e 4 103 46560331
e 4 104 9068223
e 4 105 17579212
e 4 106 23454149
e 4 107 46273533
e 4 108 20688802
e 4 109 46281075
e 4 110 39884478
e 4 111 31021541
e 4 112 14801409
e 4 113 23440155
e 4 114 59968367
e 4 115 20067509
e 4 116 23135485
e 4 117 23454201
e 4 118 18569960
e 4 119 21231506
e 4 120 46209263
e 4 121 23337070
e 4 122 23372962
e 4 123 19713375
e 4 124 24474041
e 4 125 14705706
e 4 126 46276687
e 4 127 20157614
e 4 128 8595625
e 4 129 19307119
e 4 130 23428262
e 4 131 13727677
e 4 132 9292384
e 4 133 23453026
e 4 134 18771732
e 4 135 23425838
e 4 136 46298321
e 4 137 21742149
e 4 138 7497315
e 4 139 23326878
e 4 140 21200686
e 4 141 10551376
e 4 142 23216761
e 4 143 20241213
e 4 144 22321007
e 4 145 23519204
e 4 146 16151706
e 4 147 23451232
e 4 148 10903241
e 4 149 48339207
e 4 150 23444380
e 4 151 23463097
e 4 152 23127394
e 4 153 10416068
e 4 154 32849006
e 4 155 13583888
e 4 156 14382849
e 4 157 22329913
e 4 158 18489587
e 4 159 23336076
e 4 160 23454119
e 4 161 23454681
e 4 162 16845319
e 4 163 23477150
e 4 164 10924443
e 4 165 22327267
e 4 166 12045492
e 4 167 12648529
e 4 168 8448848
e 4 169 14130686
e 4 170 23453035
e 4 171 45487608
e 4 172 53594936
e 4 173 22329474
e 4 174 23442766
e 4 175 15741304
e 4 176 46328455
e 4 177 13214734
e 4 178 13223002
e 4 179 14751711
e 4 180 46413816
e 4 181 23425846
e 4 182 6189588
e 4 183 6687394
e 4 184 23444796
e 4 185 19687032
e 4 186 17980314
e 4 187 46350014
e 4 188 23453832
e 4 189 16898270
e 4 190 34850700
e 4 191 23429345
e 4 192 23303425
e 4 193 19095394
e 4 194 23443076
e 4 195 22329913
e 4 196 46272731
e 4 197 22175596
e 4 198 18784531
e 4 199 30246194
e 4 200 23454457
e 4 201 23454119
e 4 202 23342186
e 4 203 16334064
e 4 204 9997560
e 4 205 10927273
e 4 206 9617310
e 4 207 22324287
e 4 208 11027270
e 4 209 23454119
e 4 210 12233755
e 4 211 23359448
e 4 212 14650334
e 4 213 23320769
e 4 214 22324662
e 4 215 24617480
e 4 216 46266344
e 4 217 10492725
e 4 218 25855211
e 4 219 23437913
e 4 220 23441203
e 4 221 16865643
e 4 222 22229079
e 4 223 9815252
e 4 224 23374611
e 4 225 22229332
e 4 226 9879580
e 4 227 22329483
e 4 228 40930213
e 4 229 46275027
e 4 230 22317433
e 4 231 16869731
e 4 232 12251026
e 4 233 46223211
e 4 234 33324988
e 4 235 18901199
e 4 236 17974747
e 4 237 49218860
e 4 238 17989844
e 4 239 23454119
e 4 240 23454119
e 4 241 16319954
e 4 242 46223206
e 4 243 33258098
e 4 244 46275027
e 4 245 22329913
e 4 246 17150959
e 4 247 23454119
e 4 248 23454119
e 4 249 46275027
e 4 250 15041521
e 4 251 56621588
e 4 252 23449303
e 4 253 23451068
e 4 254 46275027
e 4 255 7937086
e 4 256 23454119
e 5 6 20183638
e 5 7 31290285
e 5 8 20660203
e 5 9 35077669
e 5 10 8624274
e 5 11 21018382
e 5 12 11852761
e 5 13 13616000
e 5 14 21071715
e 5 15 21074053
e 5 16 13903022
e 5 17 21042949
e 5 18 6654125
e 5 19 18114249
e 5 20 21068229
e 5 21 21071920
e 5 22 42669513
e 5 23 21060911
e 5 24 39041213
e 5 25 8504738
e 5 26 51864729
e 5 27 20357612
e 5 28 16978536
e 5 29 21057047
e 5 30 21075580
e 5 31 9061308
e 5 32 21069177
e 5 33 27915125
e 5 34 17883417
e 5 35 21072188
e 5 36 39923002
e 5 37 21043440
e 5 38 18736191
e 5 39 21049281
e 5 40 55419986
e 5 41 18055271
e 5 42 39775569
e 5 43 19207084
e 5 44 21061666
e 5 45 8521373
e 5 46 21071611
e 5 47 17260698
e 5 48 21070075
e 5 49 4399106
e 5 50 21068476
e 5 51 6957463
e 5 52 21065554
e 5 53 39779906
e 5 54 33359923
e 5 55 33533047
e 5 56 21022929
e 5 57 21008862
e 5 58 21073088
e 5 59 18173641
e 5 60 21072206
e 5 61 39778123
e 5 62 43116935
e 5 63 18726975
e 5 64 21070569
e 5 65 12304066
e 5 66 28412515
e 5 67 28738363
e 5 68 10255260
e 5 69 21067073
e 5 70 21048635
e 5 71 10862401
e 5 72 39064660
e 5 73 43921308
e 5 74 21074909
e 5 75 21075565
e 5 76 37615727
e 5 77 21073256
e 5 78 7718055
e 5 79 20845830
e 5 80 41698964
e 5 81 21058847
e 5 82 21072054
e 5 83 6632947
e 5 84 41103198
e 5 85 21070504
e 5 86 12712167
e 5 87 21047892
e 5 88 54584498
e 5 89 21070052
e 5 90 21096345
e 5 91 14906793
e 5 92 45388078
e 5 93 39775176
e 5 94 24979810
e 5 95 39784309
e 5 96 21010958
e 5 97 19111129
e 5 98 39782542
e 5 99 9456840
e 5 100 39784696
e 5 101 18244856
e 5 102 39901298
e 5 103 40050960
e 5 104 7811877
e 5 105 33960161
e 5 106 21073296
e 5 107 39773649
e 5 108 38134745
e 5 109 21050415
e 5 110 12007246
e 5 111 60699413
e 5 112 13544753
e 5 113 39761179
e 5 114 31283710
e 5 115 37507995
e 5 116 41764477
e 5 117 39775225
e 5 118 17308560
e 5 119 41834014
e 5 120 20936156
e 5 121 20956208
e 5 122 21035901
e 5 123 38330188
e 5 124 40795065
e 5 125 13449050
e 5 126 39776803
e 5 127 17776751
e 5 128 26043302
e 5 129 16926256
e 5 130 21047399
e 5 131 12471020
e 5 132 17236048
e 5 133 21072163
e 5 134 16390869
e 5 135 39795295
e 5 136 39733123
e 5 137 20485492
e 5 138 12301481
e 5 139 39931929
e 5 140 18454042
e 5 141 9294719
e 5 142 39784250
e 5 143 4028852
e 5 144 39763896
e 5 145 20419081
e 5 146 16059915
e 5 147 21070369
e 5 148 8522379
e 5 149 41844151
e 5 150 21062610
e 5 151 39784121
e 5 152 40098489
e 5 153 8035206
e 5 154 7232009
e 5 155 30348561
e 5 156 12001986
e 5 157 21073256
e 5 158 16085125
e 5 159 20938403
e 5 160 39775143
e 5 161 39775705
e 5 162 46327811
e 5 163 20988132
e 5 164 8543581
e 5 165 39776630
e 5 166 29490722
e 5 167 49389214
e 5 168 47559822
e 5 169 11530680
e 5 170 39776410
e 5 171 21073256
e 5 172 28339739
e 5 173 39775859
e 5 174 21061903
e 5 175 46678389
e 5 176 21018020
e 5 177 12338948
e 5 178 44756790
e 5 179 13490311
e 5 180 20945434
e 5 181 39746870
e 5 182 4928188
e 5 183 5430738
e 5 184 39765819
e 5 185 41506933
e 5 186 16723657
e 5 187 20999586
e 5 188 21072970
e 5 189 33219293
e 5 190 18760618
e 5 191 21048482
e 5 192 20922563
e 5 193 17838737
e 5 194 21077811
e 5 195 21073256
e 5 196 39792000
e 5 197 39672078
e 5 198 17527874
e 5 199 27865331
e 5 200 21072980
e 5 201 21073256
e 5 202 20961323
e 5 203 15855588
e 5 204 34236271
e 5 205 8541459
e 5 206 27400040
e 5 207 39791632
e 5 208 9765870
e 5 209 21073256
e 5 210 44815836
e 5 211 20682603
e 5 212 13393677
e 5 213 20939906
e 5 214 39780373
e 5 215 14802937
e 5 216 39766460
e 5 217 51836205
e 5 218 13136596
e 5 219 21035500
e 5 220 21060340
e 5 221 14454952
e 5 222 20980315
e 5 223 7434390
e 5 224 20993748
e 5 225 20972676
e 5 226 7498717
e 5 227 21072826
e 5 228 44084410
e 5 229 39804108
e 5 230 39767491
e 5 231 46044008
e 5 232 50221186
e 5 233 21021441
e 5 234 49702914
e 5 235 40286130
e 5 236 15593885
e 5 237 16678180
e 5 238 16733188
e 5 239 39775143
e 5 240 21073256
e 5 241 48035330
e 5 242 20973897
e 5 243 49599945
e 5 244 39804108
e 5 245 21073256
e 5 246 15894303
e 5 247 21073256
e 5 248 21073256
e 5 249 21073256
e 5 250 12660658
e 5 251 10361002
e 5 252 39770327
e 5 253 21070206
e 5 254 21073256
e 5 255 24258109
e 5 256 39775143
e 6 7 17089277
e 6 8 19643809
e 6 9 10716976
e 6 10 5707360
e 6 11 19735470
e 6 12 8929905
e 6 13 23437044
e 6 14 47787975
e 6 15 18151197
e 6 16 10726156
e 6 17 18120093
e 6 18 3725497
e 6 19 15191393
e 6 20 18145373
e 6 21 18149064
e 6 22 18147133
e 6 23 47427256
e 6 24 17416471
e 6 25 7221826
e 6 26 7210149
e 6 27 17434756
e 6 28 49633607
e 6 29 18134191
e 6 30 48158959
e 6 31 6133550
e 6 32 18146321
e 6 33 25645870
e 6 34 14972616
e 6 35 18149332
e 6 36 17961486
e 6 37 19763569
e 6 38 15813335
e 6 39 19804536
e 6 40 2341674
e 6 41 15132415
e 6 42 47390566
e 6 43 17924173
e 6 44 18144752
e 6 45 5598517
e 6 46 47391802
e 6 47 14337842
e 6 48 47405285
e 6 49 63851915
e 6 50 18145620
e 6 51 5674551
e 6 52 18142698
e 6 53 18145859
e 6 54 13375126
e 6 55 30610190
e 6 56 18100072
e 6 57 19725951
e 6 58 19790113
e 6 59 16901963
e 6 60 47391207
e 6 61 18147747
e 6 62 21443604
e 6 63 22533141
e 6 64 18147713
e 6 65 9381210
e 6 66 58635892
e 6 67 7113621
e 6 68 7336593
e 6 69 47409495
e 6 70 47422525
e 6 71 37191167
e 6 72 17439918
e 6 73 4918004
e 6 74 18152053
e 6 75 19792653
e 6 76 17630929
e 6 77 18150400
e 6 78 4795198
e 6 79 17922974
e 6 80 17536895
e 6 81 18135991
e 6 82 18149198
e 6 83 28660795
e 6 84 16798055
e 6 85 18147648
e 6 86 9789311
e 6 87 18133251
e 6 88 34599700
e 6 89 18147196
e 6 90 18179430
e 6 91 11981583
e 6 92 53206138
e 6 93 18150343
e 6 94 22056954
e 6 95 47438347
e 6 96 19814813
e 6 97 16188273
e 6 98 19753287
e 6 99 6533984
e 6 100 18124464
e 6 101 15322000
e 6 102 17971302
e 6 103 17875368
e 6 104 4889021
e 6 105 12275494
e 6 106 18156372
e 6 107 19788851
e 6 108 16510003
e 6 109 18127559
e 6 110 9030340
e 6 111 4536860
e 6 112 10621896
e 6 113 47388059
e 6 114 6680272
e 6 115 15883252
e 6 116 17831766
e 6 117 47402105
e 6 118 17211691
e 6 119 15921394
e 6 120 47422883
e 6 121 18033352
e 6 122 47446437
e 6 123 16049601
e 6 124 17110810
e 6 125 10526193
e 6 126 18148630
e 6 127 16493840
e 6 128 4416113
e 6 129 14003400
e 6 130 18130485
e 6 131 9548164
e 6 132 15953136
e 6 133 19791471
e 6 134 17485231
e 6 135 18105168
e 6 136 19739419
